CENTRALE;CODE_SOCIETE;LIBELLE_SOCIETE;CODE_CLIENT_BCP;POLE_AFFILIANT;FOURNISSEUR;NOM_FOURNISSEUR;REGROUPEMENT;CA_DECLARE_FRN;CA_FRN_CRF;TOTAL_CA_DECLARE_FRN;TOTAL_ENCAISSE;MTT_A_REVERSER_DIFF;MTT_A_REV_DIFF_HORS_SYN;MTT_A_REVERSER_BCP;ECART_MTT_A_REVERSER;MTT_PREVISION_AVEC_SYNERGIE;MTT_PREVISION_HORS_SYNERGIE;Cdfop;Norca;Cient;Cdprolog;Lbetblba;Activite;Code_Ent_BCP;Libelle_entrepot;SOURCES;Carpr;Mteca;_Ca_Bn;_Ristourne_Prolog;Ecart_CA;%CA;Ecart_Ristourne;%Ristourne;DATE
CAP;144;C.S.F.              ;31097;ENT GR;20972;GROUP BIERES SPECIAL;15;0;182064,74;0;307236,66;0;0;0;0;15730,4;13909,75;20972;15;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;181654,85;2053,05;179601,8;15517,59552;-2462,94;-0,013527825;-212,80448;-0,013528231;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;20972;GROUP BIERES SPECIAL;17;0;107096,08;228083,48;919804,21;0;0;0;0;22375,4;22375,4;20972;17;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;104166,72;405,96;103760,76;21687,3481;-3335,32;-0,03114325;-688,051904;-0,030750373;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;22838;PRESSADE            ;4;0;747981,09;0;3803946,19;0;0;0;0;326399,84;289000,78;22838;4;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;732251,15;-10554,24;742805,39;324153,8083;-5175,7;-0,00691956;-2246,031689;-0,006881228;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;25079;ORANGINA SCHWEPPES  ;2;0;9206707,49;3860916,52;28512005,76;0;0;0;0;2604502,86;2121150,71;25079;2;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;9144392,87;18815,16;9125577,71;2581517,205;-81129,78;-0,00881203;-22985,65525;-0,008825352;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;25079;ORANGINA SCHWEPPES  ;33;0;386895,42;173047,03;1780887,76;0;0;0;0;114685,29;93406,02;25079;33;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;385651,97;930,44;384721,53;114040,0851;-2173,89;-0,005618805;-645,204912;-0,005625873;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;25079;ORANGINA SCHWEPPES  ;35;0;420365,39;432536,02;1135082,72;0;0;0;0;69739,53;48721,26;25079;35;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;411973,42;-1232,94;413206,36;68558,68555;-7159,03;-0,017030493;-1180,844448;-0,016932211;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;25816;CANDIA              ;2;0;5654283,17;1172595,86;20447276,08;0;0;0;0;1487305,25;1292232,49;25816;2;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;5647653,16;10183,61;5637469,55;1482913,372;-16813,62;-0,002973608;-4391,878085;-0,00295291;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;27304;MONIN GEORGES       ;9;0;147291,52;0;54542,38;0;0;0;0;6718,39;826,71;27304;9;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;146413,3;-178,85;146592,15;6686,28901;-699,37;-0,004748203;-32,10099;-0,004778078;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;29380;ECKES GRANINI FRANCE;1;0;2872274,88;804943,73;11779807,6;0;0;0;0;1195902,78;1095373,15;29380;1;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;2872469,05;2861,58;2869607,47;1194805,685;-2667,41;-0,000928675;-1097,094596;-0,000917378;30/09/2022
CAP;144;C.S.F.              ;31097;ENT GR;29380;ECKES GRANINI FRANCE;2;0;54851;0;450740,32;0;0;0;0;18484,8;17058,68;29380;2;104;104;TRAPPES BRASS MSES;LIQU;31097;TRAPPES BR;NR;54879,16;97,5;54781,66;18461,41942;-69,34;-0,001264152;-23,38058;-0,001264854;30/09/2022
